entity e1,entity e2,ddi,pair type
Ribavirin,Ribavirin,false,
Ribavirin,ribavirin,false,
peginterferon,ribavirin,false,
PEGASYS,benzyl alcohol,false,
alpha interferon,PEGASYS,false,
Acetaminophen,acetaminophen,false,
Acetaminophen,Isoniazid,false,
acetaminophen,Isoniazid,true,effect
isoniazid,acetaminophen,true,effect
isoniazid,acetaminophen,true,mechanism
Carbamazepine,Isoniazid,false,
Carbamazepine,carbamazepine,false,
Carbamazepine,Carbamazepine,false,
Carbamazepine,isoniazid,false,
Carbamazepine,anticonvulsant,false,
Isoniazid,carbamazepine,true,mechanism
Isoniazid,Carbamazepine,false,
Isoniazid,isoniazid,false,
Isoniazid,carbamazepine,false,
Isoniazid,anticonvulsant,false,
carbamazepine,Carbamazepine,false,
carbamazepine,isoniazid,false,
carbamazepine,carbamazepine,false,
carbamazepine,anticonvulsant,false,
Carbamazepine,isoniazid,true,advise
isoniazid,carbamazepine,false,
isoniazid,anticonvulsant,false,
Ketoconazole,Ketoconazole,false,
Ketoconazole,Isoniazid,false,
Ketoconazole,Isoniazid,true,int
Phenytoin,Isoniazid,false,
Phenytoin,phenytoin,false,
Isoniazid,phenytoin,true,mechanism
phenytoin,anticonvulsant,false,
isoniazid,theophylline,true,mechanism
isoniazid,theophylline,false,
isoniazid,isoniazid,false,
theophylline,theophylline,false,
theophylline,isoniazid,false,
Valproate,valproate,false,
Valproate,isoniazid,false,
valproate,isoniazid,true,mechanism
valproate,isoniazid,false,
valproate,valproate,false,
isoniazid,valproate,true,advise
isoniazid,valproate,false,
Hormonal Contraceptives,Contraceptives,false,
Hormonal Contraceptives,bosentan,false,
Hormonal Contraceptives,hormonal contraceptive,false,
Hormonal Contraceptives,Ortho-Novum,false,
Hormonal Contraceptives,norethindrone,false,
Hormonal Contraceptives,ethinyl estradiol,false,
Contraceptives,bosentan,false,
Contraceptives,hormonal contraceptive,false,
Contraceptives,Ortho-Novum,false,
Contraceptives,norethindrone,false,
Contraceptives,ethinyl estradiol,false,
bosentan,hormonal contraceptive,false,
bosentan,Ortho-Novum,true,mechanism
bosentan,norethindrone,false,
bosentan,ethinyl estradiol,false,
hormonal contraceptive,Ortho-Novum,false,
hormonal contraceptive,norethindrone,false,
hormonal contraceptive,ethinyl estradiol,false,
Ortho-Novum,norethindrone,false,
Ortho-Novum,ethinyl estradiol,false,
norethindrone,ethinyl estradiol,false,
hormonal contraceptives,TRACLEER,true,effect
Cyclosporine A,bosentan,false,
bosentan,cyclosporine A,true,mechanism
bosentan,cyclosporine A,true,advise
Tacrolimus,tacrolimus,false,
Tacrolimus,bosentan,false,
tacrolimus,bosentan,false,
tacrolimus,bosentan,true,mechanism
bosentan,bosentan,false,
tacrolimus,bosentan,true,advise
Glyburide,glyburide,false,
TRACLEER,glyburide,true,advise
TRACLEER,hypoglycemic agents,false,
glyburide,hypoglycemic agents,false,
bosentan,glyburide,true,mechanism
Bosentan,hypoglycemic agents,true,mechanism
Ketoconazole,bosentan,false,
Ketoconazole,ketoconazole,false,
bosentan,ketoconazole,true,mechanism
ketoconazole,bosentan,false,
Simvastatin,Statins,false,
Simvastatin,bosentan,false,
Simvastatin,simvastatin,false,
Statins,bosentan,false,
Statins,simvastatin,false,
bosentan,simvastatin,true,mechanism
Bosentan,statins,true,mechanism
Bosentan,lovastatin,true,mechanism
Bosentan,atorvastatin,true,mechanism
statins,lovastatin,false,
statins,atorvastatin,false,
lovastatin,atorvastatin,false,
statins,TRACLEER,true,advise
statins,statin,false,
TRACLEER,statin,false,
Warfarin,bosentan,false,
Warfarin,S-warfarin,false,
Warfarin,R-warfarin,false,
bosentan,S-warfarin,true,mechanism
bosentan,R-warfarin,true,mechanism
S-warfarin,R-warfarin,false,
bosentan,warfarin,false,
warfarin,warfarin,false,
warfarin,bosentan,false,
Digoxin,Nimodipine,false,
Digoxin,Losartan,false,
Digoxin,Bosentan,false,
Digoxin,digoxin,false,
Digoxin,nimodipine,false,
Digoxin,losartan,false,
Digoxin,bosentan,false,
Nimodipine,Losartan,false,
Nimodipine,Bosentan,false,
Nimodipine,digoxin,false,
Nimodipine,nimodipine,false,
Nimodipine,losartan,false,
Nimodipine,bosentan,false,
Losartan,Bosentan,false,
Losartan,digoxin,false,
Losartan,nimodipine,false,
Losartan,losartan,false,
Losartan,bosentan,false,
Bosentan,digoxin,false,
Bosentan,nimodipine,false,
Bosentan,losartan,false,
Bosentan,bosentan,false,
digoxin,nimodipine,false,
digoxin,losartan,false,
digoxin,bosentan,false,
nimodipine,losartan,false,
nimodipine,bosentan,false,
losartan,bosentan,false,
MTX,NSAIDs,false,
MTX,corticosteroids,false,
MTX,TNF blocking agents,false,
MTX,abatacept,false,
NSAIDs,corticosteroids,false,
NSAIDs,TNF blocking agents,false,
NSAIDs,abatacept,false,
corticosteroids,TNF blocking agents,false,
corticosteroids,abatacept,false,
TNF blocking agents,abatacept,false,
ORENCIA,MTX,false,
ORENCIA,NSAIDs,false,
ORENCIA,corticosteroids,false,
ORENCIA,TNF blocking agents,false,
ORENCIA,azathioprine,false,
ORENCIA,chloroquine,false,
ORENCIA,gold,false,
ORENCIA,hydroxychloroquine,false,
ORENCIA,leflunomide,false,
ORENCIA,sulfasalazine,false,
ORENCIA,anakinra,false,
MTX,azathioprine,false,
MTX,chloroquine,false,
MTX,gold,false,
MTX,hydroxychloroquine,false,
MTX,leflunomide,false,
MTX,sulfasalazine,false,
MTX,anakinra,false,
NSAIDs,azathioprine,false,
NSAIDs,chloroquine,false,
NSAIDs,gold,false,
NSAIDs,hydroxychloroquine,false,
NSAIDs,leflunomide,false,
NSAIDs,sulfasalazine,false,
NSAIDs,anakinra,false,
corticosteroids,azathioprine,false,
corticosteroids,chloroquine,false,
corticosteroids,gold,false,
corticosteroids,hydroxychloroquine,false,
corticosteroids,leflunomide,false,
corticosteroids,sulfasalazine,false,
corticosteroids,anakinra,false,
TNF blocking agents,azathioprine,false,
TNF blocking agents,chloroquine,false,
TNF blocking agents,gold,false,
TNF blocking agents,hydroxychloroquine,false,
TNF blocking agents,leflunomide,false,
TNF blocking agents,sulfasalazine,false,
TNF blocking agents,anakinra,false,
azathioprine,chloroquine,false,
azathioprine,gold,false,
azathioprine,hydroxychloroquine,false,
azathioprine,leflunomide,false,
azathioprine,sulfasalazine,false,
azathioprine,anakinra,false,
chloroquine,gold,false,
chloroquine,hydroxychloroquine,false,
chloroquine,leflunomide,false,
chloroquine,sulfasalazine,false,
chloroquine,anakinra,false,
gold,hydroxychloroquine,false,
gold,leflunomide,false,
gold,sulfasalazine,false,
gold,anakinra,false,
hydroxychloroquine,leflunomide,false,
hydroxychloroquine,sulfasalazine,false,
hydroxychloroquine,anakinra,false,
leflunomide,sulfasalazine,false,
leflunomide,anakinra,false,
sulfasalazine,anakinra,false,
TNF antagonist,ORENCIA,true,effect
TNF antagonist,TNF antagonists,false,
ORENCIA,TNF antagonists,false,
ORENCIA,TNF antagonists,true,advise
ORENCIA,anakinra,true,advise
Cholestyramine,Charcoal,false,
Cholestyramine,cholestyramine,false,
Cholestyramine,activated charcoal,false,
Cholestyramine,leflunomide,false,
Charcoal,cholestyramine,false,
Charcoal,activated charcoal,false,
Charcoal,leflunomide,false,
cholestyramine,activated charcoal,false,
cholestyramine,leflunomide,true,mechanism
activated charcoal,leflunomide,true,mechanism
ARAVA,methotrexate,true,effect
NSAIDs,diclofenac,false,
NSAIDs,ibuprofen,false,
diclofenac,ibuprofen,false,
Tolbutamide,tolbutamide,false,
Rifampin,ARAVA,false,
Rifampin,rifampin,false,
ARAVA,rifampin,true,mechanism
ARAVA,ARAVA,false,
rifampin,ARAVA,false,
ARAVA,rifampin,false,
ARAVA,rifampin,true,advise
Warfarin,ARAVA,false,
Warfarin,warfarin,false,
ARAVA,warfarin,true,effect
dobutamine,b-blocking drug,true,effect
dobutamine,nitroprusside,true,effect
dobutamine,digitalis preparations,false,
dobutamine,furosemide,false,
dobutamine,spironolactone,false,
dobutamine,lidocaine,false,
dobutamine,glyceryl trinitrate,false,
dobutamine,isosorbide dinitrate,false,
dobutamine,morphine,false,
dobutamine,atropine,false,
dobutamine,heparin,false,
dobutamine,protamine,false,
dobutamine,potassium chloride,false,
dobutamine,folic acid,false,
dobutamine,acetaminophen,false,
digitalis preparations,furosemide,false,
digitalis preparations,spironolactone,false,
digitalis preparations,lidocaine,false,
digitalis preparations,glyceryl trinitrate,false,
digitalis preparations,isosorbide dinitrate,false,
digitalis preparations,morphine,false,
digitalis preparations,atropine,false,
digitalis preparations,heparin,false,
digitalis preparations,protamine,false,
digitalis preparations,potassium chloride,false,
digitalis preparations,folic acid,false,
digitalis preparations,acetaminophen,false,
furosemide,spironolactone,false,
furosemide,lidocaine,false,
furosemide,glyceryl trinitrate,false,
furosemide,isosorbide dinitrate,false,
furosemide,morphine,false,
furosemide,atropine,false,
furosemide,heparin,false,
furosemide,protamine,false,
furosemide,potassium chloride,false,
furosemide,folic acid,false,
furosemide,acetaminophen,false,
spironolactone,lidocaine,false,
spironolactone,glyceryl trinitrate,false,
spironolactone,isosorbide dinitrate,false,
spironolactone,morphine,false,
spironolactone,atropine,false,
spironolactone,heparin,false,
spironolactone,protamine,false,
spironolactone,potassium chloride,false,
spironolactone,folic acid,false,
spironolactone,acetaminophen,false,
lidocaine,glyceryl trinitrate,false,
lidocaine,isosorbide dinitrate,false,
lidocaine,morphine,false,
lidocaine,atropine,false,
lidocaine,heparin,false,
lidocaine,protamine,false,
lidocaine,potassium chloride,false,
lidocaine,folic acid,false,
lidocaine,acetaminophen,false,
glyceryl trinitrate,isosorbide dinitrate,false,
glyceryl trinitrate,morphine,false,
glyceryl trinitrate,atropine,false,
glyceryl trinitrate,heparin,false,
glyceryl trinitrate,protamine,false,
glyceryl trinitrate,potassium chloride,false,
glyceryl trinitrate,folic acid,false,
glyceryl trinitrate,acetaminophen,false,
isosorbide dinitrate,morphine,false,
isosorbide dinitrate,atropine,false,
isosorbide dinitrate,heparin,false,
isosorbide dinitrate,protamine,false,
isosorbide dinitrate,potassium chloride,false,
isosorbide dinitrate,folic acid,false,
isosorbide dinitrate,acetaminophen,false,
morphine,atropine,false,
morphine,heparin,false,
morphine,protamine,false,
morphine,potassium chloride,false,
morphine,folic acid,false,
morphine,acetaminophen,false,
atropine,heparin,false,
atropine,protamine,false,
atropine,potassium chloride,false,
atropine,folic acid,false,
atropine,acetaminophen,false,
heparin,protamine,false,
heparin,potassium chloride,false,
heparin,folic acid,false,
heparin,acetaminophen,false,
protamine,potassium chloride,false,
protamine,folic acid,false,
protamine,acetaminophen,false,
potassium chloride,folic acid,false,
potassium chloride,acetaminophen,false,
folic acid,acetaminophen,false,
Heparin,anticoagulants,false,
Heparin,Heparin sodium,false,
anticoagulants,Heparin sodium,false,
heparin sodium,dicumarol,true,advise
heparin sodium,warfarin sodium,true,advise
dicumarol,warfarin sodium,false,
Platelet inhibitors,acetylsalicylic acid,false,
Platelet inhibitors,dextran,false,
Platelet inhibitors,phenylbutazone,false,
Platelet inhibitors,ibuprofen,false,
Platelet inhibitors,indomethacin,false,
Platelet inhibitors,dipyridamole,false,
Platelet inhibitors,hydroxychloroquine,false,
Platelet inhibitors,heparin sodium,false,
acetylsalicylic acid,dextran,false,
acetylsalicylic acid,phenylbutazone,false,
acetylsalicylic acid,ibuprofen,false,
acetylsalicylic acid,indomethacin,false,
acetylsalicylic acid,dipyridamole,false,
acetylsalicylic acid,hydroxychloroquine,false,
acetylsalicylic acid,heparin sodium,true,effect
dextran,phenylbutazone,false,
dextran,ibuprofen,false,
dextran,indomethacin,false,
dextran,dipyridamole,false,
dextran,hydroxychloroquine,false,
dextran,heparin sodium,true,effect
phenylbutazone,ibuprofen,false,
phenylbutazone,indomethacin,false,
phenylbutazone,dipyridamole,false,
phenylbutazone,hydroxychloroquine,false,
phenylbutazone,heparin sodium,true,effect
ibuprofen,indomethacin,false,
ibuprofen,dipyridamole,false,
ibuprofen,hydroxychloroquine,false,
ibuprofen,heparin sodium,true,effect
indomethacin,dipyridamole,false,
indomethacin,hydroxychloroquine,false,
indomethacin,heparin sodium,true,effect
dipyridamole,hydroxychloroquine,false,
dipyridamole,heparin sodium,true,effect
hydroxychloroquine,heparin sodium,true,effect
heparin,antithrombin III,true,effect
heparin,antithrombin III,true,advise
Heparin,Digitalis,false,
Heparin,tetracyclines,false,
Heparin,nicotine,false,
Heparin,antihistamines,false,
Heparin,heparin sodium,false,
Digitalis,tetracyclines,false,
Digitalis,nicotine,false,
Digitalis,antihistamines,false,
Digitalis,heparin sodium,true,effect
tetracyclines,nicotine,false,
tetracyclines,antihistamines,false,
tetracyclines,heparin sodium,true,effect
nicotine,antihistamines,false,
nicotine,heparin sodium,true,effect
antihistamines,heparin sodium,true,effect
Heparin Sodium,doxorubicin,false,
Heparin Sodium,droperidol,false,
Heparin Sodium,ciprofloxacin,false,
Heparin Sodium,mitoxantrone,false,
Heparin Sodium,heparin,false,
doxorubicin,droperidol,false,
doxorubicin,ciprofloxacin,false,
doxorubicin,mitoxantrone,false,
doxorubicin,heparin,false,
droperidol,ciprofloxacin,false,
droperidol,mitoxantrone,false,
droperidol,heparin,false,
ciprofloxacin,mitoxantrone,false,
ciprofloxacin,heparin,false,
mitoxantrone,heparin,false,
Sirolimus,rapamycin,false,
Sirolimus,immunosuppressants,false,
Sirolimus,sirolimus,false,
Sirolimus,cyclosporine,false,
Sirolimus,tacrolimus,false,
immunosuppressants,sirolimus,false,
immunosuppressants,cyclosporine,false,
immunosuppressants,tacrolimus,false,
sirolimus,cyclosporine,false,
sirolimus,tacrolimus,false,
cyclosporine,tacrolimus,false,
cyclosporine,cyclosporine,false,
tacrolimus,cyclosporine,false,
tacrolimus,tacrolimus,false,
tricyclic antidepressants,cimetidine,true,mechanism
tricyclic antidepressants,cimetidine,true,effect
cimetidine,tricyclic antidepressants,true,mechanism
antidepressants,nortriptyline,false,
antidepressants,fluoxetine hydrochloride,true,mechanism
nortriptyline,fluoxetine hydrochloride,true,mechanism
Fluoxetine,norfluoxetine,false,
reserpine,tricyclic antidepressant,true,effect
nortriptyline hydrochloride,anticholinergic drugs,true,advise
nortriptyline hydrochloride,sympathomimetic drugs,true,advise
anticholinergic drugs,sympathomimetic drugs,false,
debrisoquin,dextromethorphan,false,
debrisoquin,tricyclic antidepressants,false,
dextromethorphan,tricyclic antidepressants,false,
antidepressants,tricyclic antidepressants,false,
antidepressants,selective serotonin reuptake inhibitors,false,
tricyclic antidepressants,selective serotonin reuptake inhibitors,false,
tricyclic antidepressants,tricyclic antidepressant,false,
tricyclic antidepressants,antidepressants,true,advise
tricyclic antidepressants,phenothiazines,true,advise
tricyclic antidepressants,carbamazepine,true,advise
tricyclic antidepressants,Type 1C antiarrhythmics,true,advise
tricyclic antidepressants,propafenone,true,advise
tricyclic antidepressants,flecainide,true,advise
tricyclic antidepressants,encainide,true,advise
tricyclic antidepressants,quinidine,true,advise
antidepressants,phenothiazines,false,
antidepressants,carbamazepine,false,
antidepressants,Type 1C antiarrhythmics,false,
antidepressants,propafenone,false,
antidepressants,flecainide,false,
antidepressants,encainide,false,
antidepressants,quinidine,false,
phenothiazines,carbamazepine,false,
phenothiazines,Type 1C antiarrhythmics,false,
phenothiazines,propafenone,false,
phenothiazines,flecainide,false,
phenothiazines,encainide,false,
phenothiazines,quinidine,false,
carbamazepine,Type 1C antiarrhythmics,false,
carbamazepine,propafenone,false,
carbamazepine,flecainide,false,
carbamazepine,encainide,false,
carbamazepine,quinidine,false,
Type 1C antiarrhythmics,propafenone,false,
Type 1C antiarrhythmics,flecainide,false,
Type 1C antiarrhythmics,encainide,false,
Type 1C antiarrhythmics,quinidine,false,
propafenone,flecainide,false,
propafenone,encainide,false,
propafenone,quinidine,false,
flecainide,encainide,false,
flecainide,quinidine,false,
encainide,quinidine,false,
ALPHAGAN P,CNS depressants,true,advise
ALPHAGAN P,alcohol,true,advise
ALPHAGAN P,barbiturates,true,advise
ALPHAGAN P,opiates,true,advise
ALPHAGAN P,sedatives,true,advise
ALPHAGAN P,anesthetics,true,advise
CNS depressants,alcohol,false,
CNS depressants,barbiturates,false,
CNS depressants,opiates,false,
CNS depressants,sedatives,false,
CNS depressants,anesthetics,false,
alcohol,barbiturates,false,
alcohol,opiates,false,
alcohol,sedatives,false,
alcohol,anesthetics,false,
barbiturates,opiates,false,
barbiturates,sedatives,false,
barbiturates,anesthetics,false,
opiates,sedatives,false,
opiates,anesthetics,false,
sedatives,anesthetics,false,
beta-blockers,anti-hypertensives,false,
beta-blockers,cardiac glycosides,false,
anti-hypertensives,cardiac glycosides,false,
Tricyclic antidepressants,clonidine,true,effect
Tricyclic antidepressants,ALPHAGAN P,false,
clonidine,ALPHAGAN P,false,
cobalt,iron,true,mechanism
cobalt,iron,false,
cobalt,Co,false,
cobalt,Fe,false,
iron,Co,false,
iron,Fe,false,
Co,Fe,false,
Cobalt,cobalt,false,
iron,cobalt,true,mechanism
cobalt,cobalt,false,
Fe,Fe,false,
Fe,cobalt,true,mechanism
Fe,cobalt,false,
iron,cobalt,false,
iron,iron,false,
ENABLEX,ketoconazole,true,advise
ENABLEX,itraconazole,true,advise
ENABLEX,ritonavir,true,advise
ENABLEX,nelfinavir,true,advise
ENABLEX,clarithromycin,true,advise
ketoconazole,itraconazole,false,
ketoconazole,ritonavir,false,
ketoconazole,nelfinavir,false,
ketoconazole,clarithromycin,false,
itraconazole,ritonavir,false,
itraconazole,nelfinavir,false,
itraconazole,clarithromycin,false,
ritonavir,nelfinavir,false,
ritonavir,clarithromycin,false,
nelfinavir,clarithromycin,false,
ENABLEX,flecainide,true,advise
ENABLEX,thioridazine,true,advise
ENABLEX,tricyclic antidepressants,true,advise
flecainide,thioridazine,false,
flecainide,tricyclic antidepressants,false,
thioridazine,tricyclic antidepressants,false,
ENABLEX,anticholinergic agents,true,effect
HEXALEN,antidepressants of the MAO inhibitor class,true,effect
HEXALEN,Cimetidine,false,
HEXALEN,altretamine,false,
antidepressants of the MAO inhibitor class,Cimetidine,false,
antidepressants of the MAO inhibitor class,altretamine,false,
Cimetidine,altretamine,true,mechanism
HEXALEN,cisplatin,true,effect
HEXALEN,pyridoxine,false,
cisplatin,pyridoxine,false,
pyridoxine,pyridoxine,false,
pyridoxine,HEXALEN,true,advise
pyridoxine,cisplatin,true,advise
HEXALEN,cisplatin,false,
ETHYOL,antihypertensive medications,true,advise
AEDs,AED,false,
Phenytoin,phenobarbital,false,
Phenytoin,carbamazepine,false,
phenobarbital,carbamazepine,false,
valproate,gabapentin,false,
GABITRIL,AED,false,
GABITRIL,AEDs,false,
GABITRIL,Phenytoin,false,
GABITRIL,Tiagabine,false,
GABITRIL,phenytoin,false,
AEDs,Phenytoin,false,
AEDs,Tiagabine,false,
AEDs,phenytoin,false,
Phenytoin,Tiagabine,false,
Tiagabine,phenytoin,false,
Carbamazepine,Tiagabine,false,
Tiagabine,carbamazepine,false,
Valproate,Tiagabine,false,
Tiagabine,valproate,true,mechanism
Phenobarbital,Primidone,false,
Phenobarbital,tiagabine,false,
Phenobarbital,phenobarbital,false,
Phenobarbital,primidone,false,
Primidone,tiagabine,false,
Primidone,phenobarbital,false,
Primidone,primidone,false,
tiagabine,phenobarbital,false,
tiagabine,primidone,false,
phenobarbital,primidone,false,
AEDs,GABITRIL,false,
AEDs,Carbamazepine,false,
AEDs,tiagabine,false,
AEDs,carbamazepine,false,
AEDs,AEDs,false,
GABITRIL,Carbamazepine,false,
GABITRIL,tiagabine,false,
GABITRIL,carbamazepine,false,
Carbamazepine,tiagabine,false,
Carbamazepine,AEDs,false,
tiagabine,carbamazepine,true,mechanism
tiagabine,AEDs,false,
carbamazepine,AEDs,false,
Phenytoin,tiagabine,false,
Phenytoin,AEDs,false,
tiagabine,phenytoin,true,mechanism
phenytoin,AEDs,false,
Phenobarbital,AEDs,false,
Primidone,AEDs,false,
tiagabine,phenobarbital,true,mechanism
tiagabine,primidone,true,mechanism
phenobarbital,AEDs,false,
primidone,AEDs,false,
Valproate,tiagabine,false,
tiagabine,valproate,false,
tiagabine,tiagabine,false,
valproate,tiagabine,false,
valproate,tiagabine,true,mechanism
GABITRIL,Cimetidine,false,
GABITRIL,cimetidine,false,
Cimetidine,cimetidine,false,
Cimetidine,tiagabine,false,
cimetidine,tiagabine,false,
Theophylline,tiagabine,false,
tiagabine,theophylline,false,
Warfarin,tiagabine,false,
R-warfarin,S-warfarin,false,
R-warfarin,tiagabine,false,
S-warfarin,tiagabine,false,
Digoxin,tiagabine,false,
tiagabine,digoxin,false,
digoxin,digoxin,false,
Ethanol,Triazolam,false,
Ethanol,triazolam,false,
Ethanol,tiagabine,false,
Triazolam,triazolam,false,
Triazolam,tiagabine,false,
triazolam,tiagabine,false,
ethanol,tiagabine,false,
Tiagabine,alcohol,false,
ethanol,triazolam,false,
ethanol,tiagabine,true,advise
triazolam,tiagabine,true,advise
Contraceptives,tiagabine,false,
Contraceptives,contraceptives,false,
tiagabine,contraceptives,false,
Antipyrine,Antipyrine,false,
Antipyrine,tiagabine,false,
tiagabine,antipyrine,false,
Sulfapyridine,Acetaminophen,true,int
Sulfapyridine,Tylenol,true,int
Acetaminophen,Tylenol,false,
Amiodarone,Cordarone,false,
Anabolic steroids,nandrolone,false,
Anabolic steroids,Anabolin,false,
Anabolic steroids,oxandrolone,false,
Anabolic steroids,Anavar,false,
Anabolic steroids,Anadrol,false,
Anabolic steroids,stanozolol,false,
Anabolic steroids,Winstrol,false,
nandrolone,Anabolin,false,
nandrolone,oxandrolone,false,
nandrolone,Anavar,false,
nandrolone,oxymetholone,false,
nandrolone,Anadrol,false,
nandrolone,stanozolol,false,
nandrolone,Winstrol,false,
Anabolin,oxandrolone,false,
Anabolin,Anavar,false,
Anabolin,oxymetholone,false,
Anabolin,Anadrol,false,
Anabolin,stanozolol,false,
Anabolin,Winstrol,false,
oxandrolone,Anavar,false,
oxandrolone,oxymetholone,false,
oxandrolone,Anadrol,false,
oxandrolone,stanozolol,false,
oxandrolone,Winstrol,false,
Anavar,oxymetholone,false,
Anavar,Anadrol,false,
Anavar,stanozolol,false,
Anavar,Winstrol,false,
oxymetholone,Anadrol,false,
oxymetholone,stanozolol,false,
oxymetholone,Winstrol,false,
Anadrol,stanozolol,false,
Anadrol,Winstrol,false,
stanozolol,Winstrol,false,
Carbamazepine,Tegretol,false,
